"NIVEL";"PRODUTO";"TIPO";"DESCRICAO";"UM";"COMPONENTE";"TIPO";"DESCRICAO";"UMc";"QUANTIDADE";"IPI";"NCM";"ULT_PRECO";"ORIGEM";"CUSTO_MEDIO"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="G1004391";"MP";="PROPULSORA PNEUMATICA DE GRAXA TAMPA E DISCO P/ TAMBOR 20KG";="PC";"2,0000";"3,25";"84671900";"0,00";"0";"0,00"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="G1009054";"MP";="FAROL AUXILIAR LED 27W QUADRADO";="PC";"8,0000";"3,25";"85122011";"0,00";"0";"0,00"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";"1,0000";"3,25";"87169010";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1007348";"MP";="CONEXAO COTOVELO MACHO 1/4 X 10MM ENG RAPIDO";="PC";"1,0000";"3,25";"39174090";"0,00";"1";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009096";"MP";="COMPRESSOR 20 PES SEM MOTOR COM VAL DE DESCARGA VOLANTE 320 MM";="UN";"1,0000";"3,25";"84148011";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009097";"MP";="MOTOR HID 24 CC FL SAE B DIAM PIL 101,6 EIXO CILIN CHAV DIAM 25.4 X 50 -1 1/16 UNF-3/4 ODT";="PC";"1,0000";"0,00";"84136011";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009099";"MP";="CORREIA A52";="PC";"1,0000";"0,00";"84122900";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009196";"MP";="NIPLE DUPLO FG NBR 6590 1/2"" BSP NBR 6943 150LBS";="PC";"1,0000";"9,75";"73071990";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009197";"MP";="ADAP TEE 90 FG NBR 6590 1/2"" BSP NBR 6943 150LBS";="PC";"1,0000";"0,00";"73071990";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009201";"MP";="CONECTOR RETO TUBO 10 X ROSCA MACHO 1/4POL NPT";="PC";"1,0000";"0,00";"74122000";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009204";"MP";="ADAPTADOR RETO MF JIC 7/16 UNF X MF NPT 1/4";="PC";"1,0000";"0,00";"73071920";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009205";"MP";="ADAPTADOR 90° MF JIC 7/8 UNF X MF NPT 3/8";="PC";"2,0000";"0,00";"73079200";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G1009222";"MP";="CJ LUBRIFIL DE 1/2POL PRESSAO MAXIMA 10 BAR C/ CAPA COD BREMEN 3363";="KT";"1,0000";"0,00";"84213990";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G3003675";"MP";="BUCHA REDUCAO FG NBR 6590 150LBS 1/2"" BSP X 1/4"" BSP NBR 6943";="PC";"2,0000";"9,75";"73071990";"0,00";"5";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G3004406";"MP";="PO SX FL M12X1,75 CL8 INS NY AUTO TRAV DIN985";="PC";"4,0000";"6,50";"73181600";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G3006749";"MP";="NIPLE REDUCAO 1"" X 1/2"" GALVANIZADO";="PC";"1,0000";"3,25";"73071990";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="G3008964";"MP";="PF ALLEN SEM CAB M10 X 1,50 X 16 CL12.9 DIN916 RI GEOMET A";="PC";"1,0000";"3,25";"73181500";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="I1007664";"PP";="BUCHA APOIO COMPRESSOR 70 X 35 X 20";="PC";"4,0000";"0,00";"87169010";"0,00";"0";"0,00"
"3";="I1007664";"PP";="BUCHA APOIO COMPRESSOR 70 X 35 X 20";="PC";="G1009172";"MP";="BUCHA APOIO TANQUE DIAM EXT 70 X ALTURA 70 X DIAM INT 20 MM CONF DESENHO";="PC";"1,3320";"3,25";"40012200";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="I1033835";"PP";="POLIA A160 1 CANAL DIAM EIXO 25,40";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"3";="I1033835";"PP";="POLIA A160 1 CANAL DIAM EIXO 25,40";="PC";="G1022563";"MP";="POLIA A160 1 CANAL FERRO FUNDIDO";="PC";"1,0000";"0,00";"84835010";"0,00";"0";"0,00"
"2";="I2002653";"PP";="MONTAGEM COMPRESSOR 20 PES";="CJ";="I1041320";"PP";="SUPORTE MOTOR HIDRAULICO COMPRESSOR";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"3";="I1041320";"PP";="SUPORTE MOTOR HIDRAULICO COMPRESSOR";="PC";="G2005887";"MP";="CHAPA ACO A36 6,35MM";="KG";"5,3400";"3,25";"72085200";"0,00";"5";"0,00"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";"2,0000";"3,25";"87169010";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G1004651";"MP";="PF SX FL M10 X 1,50 X 30 CL8.8 DIN6921 ZF";="PC";"4,0000";"9,75";"73181500";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G1004660";"MP";="PO SX FL M10 X 1,50 CL 8 DIN 6927 TORQ  ZF";="PC";"4,0000";"6,50";"73181600";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G1009680";"MP";="PO BORBOLETA - M10-1,50 MA ZF";="PC";"2,0000";"3,25";"79070090";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G1020286";"MP";="CALCO P/ CAMINHAO C/ CORDA 15,5 CM X 23 CM LARG 20 TON NBR 9735";="PC";"4,0000";"0,00";"39011030";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G3000951";"MP";="ARRUELA LISA M10 DIN125";="PC";"6,0000";"3,25";"73182100";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G3001012";"MP";="PO SX M10 X 1,50 CL8 DIN934 ZB";="PC";"2,0000";"3,25";"73181600";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="G3001107";"MP";="PF SX M10 X 1,50 X 30 CL 8.8 DIN 933 RI ZF";="PC";"4,0000";"3,25";"73181500";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="I1006862";"PP";="PERFIL SUPORTE CALCO";="PC";"2,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1006862";"PP";="PERFIL SUPORTE CALCO";="PC";="G2005931";"MP";="CHAPA ACO A36 4,75MM";="KG";"3,2200";"0,00";"72085200";"0,00";"0";"0,00"
"2";="I2002681";"PP";="CONJ SUPORTE DE CALCO BORRACHA";="CJ";="I1006863";"PP";="TRAVA CALCO 419 X 40";="PC";"2,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1006863";"PP";="TRAVA CALCO 419 X 40";="PC";="G2005931";"MP";="CHAPA ACO A36 4,75MM";="KG";"1,2000";"0,00";"72085200";"0,00";"0";"0,00"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="G1009210";"MC";="ABRACADEIRA ACO CARBONO SUPRENS MS MPA 3540";="PC";"1,0000";"0,00";"73269090";"0,00";"0";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="G3003160";"MP";="PF SX FL M8 X 1,25 X 20 CL10.9 DIN6921 ZF";="PC";"4,0000";"3,25";"73181500";"0,00";"0";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="G3007835";"MP";="PO SX FL SERRILHADO M8 X 1,25 CL8 DIN6923 MACROCOLT";="PC";"4,0000";"6,50";"73181600";"0,00";"0";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="I1007213";"PP";="FIXACAO DA MAO FRANCESA";="PC";"4,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1007213";"PP";="FIXACAO DA MAO FRANCESA";="PC";="G2005882";"MP";="CHAPA ACO A36 3,00MM";="KG";"0,6000";"3,25";"72085300";"0,00";"0";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="I1008709";"PP";="ESPIGAO 1.1/4""";="PC";"1,0000";"6,50";"87169010";"0,00";"0";"0,00"
"3";="I1008709";"PP";="ESPIGAO 1.1/4""";="PC";="G2005798";"MP";="TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 SEM COSTURA 33,40 X 26,64 X 3,38MM";="KG";"0,1200";"0,00";"73063000";"0,00";"0";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="I1011114";"PP";="BASE BANDEJA DE OLEO";="PC";"1,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1011114";"PP";="BASE BANDEJA DE OLEO";="PC";="G2005932";"MP";="CHAPA ACO A36 2,00MM";="KG";"2,7000";"3,25";"72085400";"0,00";"5";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="I1011115";"PP";="LATERAL BANDEJA";="PC";"2,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1011115";"PP";="LATERAL BANDEJA";="PC";="G2005932";"MP";="CHAPA ACO A36 2,00MM";="KG";"1,9800";"3,25";"72085400";"0,00";"5";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="I1011116";"PP";="BATENTE BANDEJA OLEO";="PC";"4,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1011116";"PP";="BATENTE BANDEJA OLEO";="PC";="G2005932";"MP";="CHAPA ACO A36 2,00MM";="KG";"0,2400";"3,25";"72085400";"0,00";"5";"0,00"
"2";="I2003889";"PP";="CONJ CAIXA DE OLEO USADO 400X 230 X 160";="CJ";="I1011117";"PP";="GRELHA BANDEJA";="PC";"1,0000";"3,25";"87169010";"0,00";"0";"0,00"
"3";="I1011117";"PP";="GRELHA BANDEJA";="PC";="G2005932";"MP";="CHAPA ACO A36 2,00MM";="KG";"0,9000";"3,25";"72085400";"0,00";"5";"0,00"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1003707";"MP";="ADAPTADOR AGN1/4POL AGJ9/16POL GEHN04HJ06 (FORA DO PADRAO)";="PC";"1,0000";"3,25";"73079200";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1004660";"MP";="PO SX FL M10 X 1,50 CL 8 DIN 6927 TORQ  ZF";="PC";"6,0000";"6,50";"73181600";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1006552";"MP";="CONEXAO ROSCADA 3/8"" NPT MACHO - JIC 3/8"" MACHO";="PC";"1,0000";"6,50";"73079200";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1006967";"MP";="BUJAO ALEN 3/8"" NPT";="PC";"1,0000";"0,00";"73079200";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1007056";"MP";="BUCHA REDUCAO FG NBR 6590 150LBS 3/4"" BSP X 1/2"" BSP NBR 6943";="PC";"1,0000";"0,00";"73071990";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1007307";"MP";="CONEXAO 90° ORIENTAVEL - 1.1/16 UNF - JIC 5/8"" MACHO";="PC";"2,0000";"3,25";"73079200";"0,00";"2";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1009097";"MP";="MOTOR HID 24 CC FL SAE B DIAM PIL 101,6 EIXO CILIN CHAV DIAM 25.4 X 50 -1 1/16 UNF-3/4 ODT";="PC";"1,0000";"0,00";"84136011";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1009132";"MP";="FILTRO DE REDE Y 3/4""";="PC";"1,0000";"5,20";"84671900";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1009196";"MP";="NIPLE DUPLO FG NBR 6590 1/2"" BSP NBR 6943 150LBS";="PC";"1,0000";"9,75";"73071990";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1009199";"MC";="REGISTRO ESFERA 3/4POL";="PC";"1,0000";"3,25";"84818095";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1009218";"MP";="ESGUICHO AGUA LONGO REGULAVEL DE 1/2 EM FERRO COD BREMEN 1449";="PC";"1,0000";"3,25";"84249090";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1012130";"MP";="ADAPTADOR AGR1POL WD AGJ1.1/16POL - GEHRED16HJ12";="PC";"2,0000";"6,50";"73079200";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1012242";"MP";="BUJAO ALEN 1/2"" NPT";="PC";"1,0000";"3,25";"73079200";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G1013898";"MP";="BOMBA CPL 016 HD-16/25 V-15";="PC";"1,0000";"0,00";"84131100";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G3003160";"MP";="PF SX FL M8 X 1,25 X 20 CL10.9 DIN6921 ZF";="PC";"4,0000";"3,25";"73181500";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G3004330";"MP";="PF SX FL M10 X 1,50 X 25 CL8.8 DIN6921 ZF";="PC";"4,0000";"3,25";"73181500";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G3004331";"MP";="PF SX FL M10 X 1,50 X 40 CL8.8 DIN6921 ZF";="PC";"2,0000";"3,25";"73181500";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="G3007835";"MP";="PO SX FL SERRILHADO M8 X 1,25 CL8 DIN6923 MACROCOLT";="PC";"4,0000";"6,50";"73181600";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="I1025272";"PP";="ACOPLAMENTO BOMBA LAVAGEM 03";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"3";="I1025272";"PP";="ACOPLAMENTO BOMBA LAVAGEM 03";="PC";="G1017788";"MP";="ACOPLAMENTO FLEXIVEL AC 28";="PC";"1,0000";"0,00";"84836090";"0,00";"0";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="I1026077";"PP";="PROTECAO ACOPLAMENTO 2 X 130 X 190 X 110";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"3";="I1026077";"PP";="PROTECAO ACOPLAMENTO 2 X 130 X 190 X 110";="PC";="G2005932";"MP";="CHAPA ACO A36 2,00MM";="KG";"0,7900";"3,25";"72085400";"0,00";"5";"0,00"
"2";="I2005361";"PP";="CONJ BOMBA LAVAGEM";="CJ";="I2012442";"PP";="CONJ SUPORTE LAVADORA";="CJ";"1,0000";"0,00";"87169090";"0,00";"0";"0,00"
"3";="I2012442";"PP";="CONJ SUPORTE LAVADORA";="CJ";="I1025269";"PP";="SUPORTE MOTOR HIDRAULICO 4,75 X 80 X 80 X 190 X 146";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"4";="I1025269";"PP";="SUPORTE MOTOR HIDRAULICO 4,75 X 80 X 80 X 190 X 146";="PC";="G2005931";"MP";="CHAPA ACO A36 4,75MM";="KG";"0,6990";"0,00";"72085200";"0,00";"0";"0,00"
"3";="I2012442";"PP";="CONJ SUPORTE LAVADORA";="CJ";="I1025270";"PP";="SUPORTE BOMBA DE LAVAGEM 4.75 X 30 X 45 X 225 X 45 X 30 X 270 OBL";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"4";="I1025270";"PP";="SUPORTE BOMBA DE LAVAGEM 4.75 X 30 X 45 X 225 X 45 X 30 X 270 OBL";="PC";="G2005931";"MP";="CHAPA ACO A36 4,75MM";="KG";"3,3500";"0,00";"72085200";"0,00";"0";"0,00"
"1";="I3001192";"PA";="COMBOIO 10.000L 6 4 1 AGUA 3 RESERV ALTA VAZAO VM 290 6X4R EE 4800 MAN . 2026";="CJ";="I2007257";"PP";="KIT ESCORVA";="CJ";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="G1000392";"MP";="REGISTRO ESFERA DE 1/2";="PC";"1,0000";"5,00";"84818095";"0,00";"0";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="G1007348";"MP";="CONEXAO COTOVELO MACHO 1/4 X 10MM ENG RAPIDO";="PC";"1,0000";"3,25";"39174090";"0,00";"1";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="G1009129";"MC";="REGISTRO SEXTAVADO 1/4POL 1120";="PC";"1,0000";"0,00";"84818095";"0,00";"0";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="G1014176";"MP";="ADAPTADOR AGR1/2POL AGN3/8POL - GEHB08HN06";="PC";"1,0000";"0,00";"73079200";"0,00";"0";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="G1019036";"MP";="DH GERADOR DE VACUO MGV 20";="PC";"1,0000";"0,00";"84798999";"0,00";"0";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G1007348";"MP";="CONEXAO COTOVELO MACHO 1/4 X 10MM ENG RAPIDO";="PC";"1,0000";"3,25";"39174090";"0,00";"1";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G1009129";"MC";="REGISTRO SEXTAVADO 1/4POL 1120";="PC";"7,0000";"0,00";"84818095";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G1009196";"MP";="NIPLE DUPLO FG NBR 6590 1/2"" BSP NBR 6943 150LBS";="PC";"1,0000";"9,75";"73071990";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G1009201";"MP";="CONECTOR RETO TUBO 10 X ROSCA MACHO 1/4POL NPT";="PC";"7,0000";"0,00";"74122000";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G1013235";"MP";="ADAP TEE 90 FG NBR 6590 1/4"" BSP NBR 6943 150LBS";="PC";"1,0000";"0,00";"73071990";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G3002236";"MP";="PF SX FL SERRILHADO M8 X 1,25 X 25 CL8.8 DIN6921 ZF";="PC";"4,0000";"3,25";"73181500";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G3007835";"MP";="PO SX FL SERRILHADO M8 X 1,25 CL8 DIN6923 MACROCOLT";="PC";"4,0000";"6,50";"73181600";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="G3016892";"MC";="NIPLE DUPLO FG NBR 6590 1/4"" BSP NBR 6943 150LBS";="PC";"1,0000";"0,00";"73072900";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="I1007325";"PP";="LUVA COM ROSCA 1/4""";="PC";"7,0000";"3,25";"87169010";"0,00";"0";"0,00"
"4";="I1007325";"PP";="LUVA COM ROSCA 1/4""";="PC";="G2000069";"MP";="BARRA REDONDA SAE1020 22,22MM LAMINADA";="KG";"0,2800";"9,75";"72283000";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="I1008449";"PP";="TUBO DISTRIBUIDOR DE AR";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"4";="I1008449";"PP";="TUBO DISTRIBUIDOR DE AR";="PC";="G2005789";"MP";="TUBO DIN 2440 NBR5580 33,70 X 27,20 X 3,25MM";="KG";"1,2800";"3,25";"73063000";"0,00";"0";"0,00"
"3";="I2007255";"PP";="DISTRIBUIDOR DE AR ESCORVA";="CJ";="I1008450";"PP";="BASE DISTRIBUIDOR DE AR";="PC";"1,0000";"0,00";"87169010";"0,00";"0";"0,00"
"4";="I1008450";"PP";="BASE DISTRIBUIDOR DE AR";="PC";="G2005931";"MP";="CHAPA ACO A36 4,75MM";="KG";"0,2200";"0,00";"72085200";"0,00";"0";"0,00"
"2";="I2007257";"PP";="KIT ESCORVA";="CJ";="I2008026";"PP";="CONJ PONTEIRA COM MANG SUCCAO 2 METROS";="CJ";"1,0000";"0,00";"87169090";"0,00";"0";"0,00"
