componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_total,cadastro_encontrado
G1000025,PARA BARRO C/ LOGO 600 X 605 CONF DES,PC,MP,MATERIA PRIMA,N,4.0,True
G1000333,PERFIL LATERAL EM ALUMINIO 32 X 100 X 6000MM,MT,MP,MATERIA PRIMA,N,135.0,True
G1000392,REGISTRO ESFERA DE 1/2,PC,MP,MATERIA PRIMA,N,2.0,True
G1000415,FILTRO MAX 150 COMBOIO CONF DES (OBSOLETO UTILIZAR O G1024261),PC,MP,MATERIA PRIMA,N,1.0,True
G1000553,REBITE ACO DA CORDA 1/2 X 1 POL,UN,MP,MATERIA PRIMA,,4.0,True
G1000584,"FIO AUTO 1,50MM 100 MT FIO 14 - BCAU015 PTO",MT,MP,MATERIA PRIMA,,0.15,True
G1001230,"RESPIRO C/ FILTRO DE SILICA GEL 270ML 1"" - WATCHDOG",PC,MP,MATERIA PRIMA,N,4.0,True
G1001538,PLAQUETA AIZI PARACHOQUE ACIMA 23.500KG CONF DES,PC,MP,MATERIA PRIMA,N,1.0,True
G1001640,"ADAP RETO ACO NBR 7007 M FIXO 1.1/16"" JIC 37 UNS X M FIXO 1"" BSP",PC,MP,MATERIA PRIMA,,8.0,True
G1001870,MOLA DE PARACHOQUE 24 X 288 X 3 P/ CAMINHAO,PC,MP,MATERIA PRIMA,,2.0,True
G1002333,PO SX M12 CL 8 ZB,PC,MP,MATERIA PRIMA,,4.0,True
G1002471,CONECTOR 2 VIAS LANTERNA 7731 ETE7731,PC,MP,MATERIA PRIMA,,1.0,True
G1002611,REGISTRO ESFERA 1.1/2,PC,MP,MATERIA PRIMA,,1.0,True
G1002666,"ADAP RETO ACO NBR 7007 M 1"" NPT X M 1.5/16"" JIC",PC,MP,MATERIA PRIMA,N,4.0,True
G1002811,TAMPA RETANGULAR 100 X 30MM,PC,MP,MATERIA PRIMA,N,36.0,True
