componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G3002567,"PF SX FL M12 X 1,75 X 50 CL10.9 DIN6921 ZF",CT,ITEM_COMERCIAL,MP,MATERIA PRIMA,,196.0,10.0,1960.0,True,196.0,False,True,False,True
G1009222,CJ LUBRIFIL DE 1/2POL PRESSAO MAXIMA 10 BAR C/ CAPA COD BREMEN 3363,KT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1015402,"LENCOL DE BORRACHA 9,5 X 1000 X 1000MM 1 LONA 70 SHORE NR1087",M,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,211.83679999999998,10.0,2118.368,True,211.83679999999998,False,True,False,True
G1000333,PERFIL LATERAL EM ALUMINIO 32 X 100 X 6000MM,MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,135.0,10.0,1350.0,True,135.0,False,True,False,True
G1000584,"FIO AUTO 1,50MM 100 MT FIO 14 - BCAU015 PTO",MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,,0.15,10.0,1.5,True,0.15,False,True,False,True
G1009109,PERFIL BIELASTOMERO PARA PORTAS,MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,912.2609999999999,10.0,9122.609999999999,True,912.2609999999999,False,True,False,True
G1012232,TUBO NYLON TRANSP. PA 6 - DIAM EXT 10 X DIAM INT 07MM - VISOR NIVEL,MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,148.325,10.0,1483.25,True,148.325,False,True,False,True
G1014966,MANGUEIRA SUCCAO C/ ALMA DE ACO DN60 - SGB160,MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,0.35,10.0,3.5,True,0.35,False,True,False,True
G1018186,"MANG SUCCAO E DESCARGA AZUL 1""",MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,0.2,10.0,2.0,True,0.2,False,True,False,True
G3003422,"CABO PP RET 2 X 0,75MM 70G 300V PT E BR 200MTS COD SINALSUL 9093",MT,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,16.0,10.0,160.0,True,16.0,False,True,False,True
